Nagoya,  名古屋市,    Aichi,   2283289,   326.45,  6860,   1889-10-01
Toyohashi,   豊橋市,  Aichi,   377045,     261.35,  1443,   1906-08-01
Okazaki,     岡崎市,  Aichi,   371380,     387.24,  959,     1916-07-01
Ichinomiya,  一宮市,  Aichi,   375939,     113.91,  3300,   1921-09-01
Seto,    瀬戸市,  Aichi,   132311,     111.61,  1185,   1929-10-01
Handa,   半田市,  Aichi,   117927,     47.24,   2496,   1937-10-01
Kasugai,     春日井市,    Aichi,   300713,     92.71,   3244,   1943-06-01
Toyokawa,    豊川市,  Aichi,   161595,     150.71,  1072,   1943-06-01
Tsushima,    津島市,  Aichi,   65646,  25.08,   2617,   1947-03-01
Hekinan,     碧南市,  Aichi,   73024,  35.86,   2036,   1948-04-05
Kariya,  刈谷市,  Aichi,   145117,     50.45,   2876,   1950-04-01
Toyota,  豊田市,  Aichi,   420286,     918.47,  458,     1951-03-01
Anjō,    安城市,  Aichi,   176046,     86.01,   2047,   1952-05-05
Nishio,  西尾市,  Aichi,   106643,     75.78,   1407,   1953-12-15
Gamagōri,    蒲郡市,  Aichi,   82264,  56.81,   1448,   1954-04-01
Inuyama,     犬山市,  Aichi,   75304,  74.97,   1004,   1954-04-01
Tokoname,    常滑市,  Aichi,   52837,  55.63,   950,     1954-04-01
Kōnan,   江南市,  Aichi,   100064,     30.17,   3317,   1954-06-01
Komaki,  小牧市,  Aichi,   149060,     62.82,   2373,   1955-01-01
Inazawa,     稲沢市,  Aichi,   137475,     79.30,   1734,   1958-11-01
Tōkai,   東海市,  Aichi,   106708,     43.36,   2461,   1969-04-01
Ōbu,     大府市,  Aichi,   83097,  33.68,   2467,   1970-09-01
Chita,   知多市,  Aichi,   84782,  45.43,   1866,   1970-09-01
Chiryū,  知立市,  Aichi,   68216,  16.34,   4175,   1970-12-01
Owariasahi,  尾張旭市,    Aichi,   79197,  21.03,   3766,   1970-12-01
Takahama,    高浜市,  Aichi,   43467,  13.00,   3344,   1970-12-01
Iwakura,     岩倉市,  Aichi,   48042,  10.49,   4580,   1971-12-01
Toyoake,     豊明市,  Aichi,   69124,  23.18,   2982,   1972-08-01
Nisshin,     日進市,  Aichi,   80921,  34.90,   2319,   1994-10-01
Tahara,  田原市,  Aichi,   66698,  188.81,  353,     2003-08-20
Aisai,   愛西市,  Aichi,   65481,  66.63,   983,     2005-04-01
Kiyosu,  清須市,  Aichi,   56635,  13.31,   4255,   2005-07-07
Shinshiro,   新城市,  Aichi,   51326,  499.00,  103,     2005-10-01
Kitanagoya,  北名古屋市,  Aichi,   80112,  18.37,   4361,   2006-03-20
Yatomi,  弥富市,  Aichi,   43145,  48.92,   882,     2006-04-01
Akita,   秋田市,  Akita,   329287,     905.67,  364,     1889-04-01
Ōdate,   大館市,  Akita,   80587,  913.70,  88.2,    1951-04-01
Kazuno,  鹿角市,  Akita,   35543,  707.34,  50.2,    1972-04-01
Daisen,  大仙市,  Akita,   91143,  866.67,  102,     2005-03-22
Katagami,    潟上市,  Akita,   35460,  97.96,   362,     2005-03-22
Kitaakita,   北秋田市,    Akita,   38543,  1152.57,    33.4,    2005-03-22
Oga,     男鹿市,  Akita,   34194,  240.80,  142,     2005-03-22
Yurihonjō,   由利本荘市,  Akita,   87525,  1209.04,    72.4,    2005-03-22
Yuzawa,  湯沢市,  Akita,   53588,  790.72,  67.8,    2005-03-22
Semboku,     仙北市,  Akita,   30885,  1093.64,    28.2,    2005-09-20
Yokote,  横手市,  Akita,   101234,     693.60,  146,     2005-10-01
